Column,Trip Start,Trip End,# of Days,Trip Year,Year but text,Traveler,Member,Party,State / District,Destination,Destination Cleaned,Country Cleaned,Country Cleaner,Count,Column,Column2,Filing Type,Israel?,Palestine?
40,7/21/17,7/23/17,2,2017,2017,Erik Sperling,John Conyers Jr.,D,MI-13,"Herat, Afghanistan",Herat, Afghanistan, Afghanistan,23,,,Original,0,0
38,8/13/21,8/13/21,0,2021,2021,Peter Meijer,Peter Meijer,R,MI-3,"Kabul, Afghanistan",Kabul, Afghanistan, Afghanistan,23,,,Original,0,0
9,8/26/21,8/27/21,1,2021,2021,Katie Murray,Dusty Johnson,R,SD-1,"Kabul, Afghanistan",Kabul, Afghanistan, Afghanistan,23,,,Amendment,0,0
5,11/9/15,11/9/15,0,2015,2015,Ryan Ethington,Pete Sessions,R,TX-32,"Kabul, Afganistan",Kabul, Afganistan, Afghanistan,23,,,Original,0,0
6,8/9/17,8/15/17,6,2017,2017,Joe Barton,Joe L. Barton,R,TX-6,"Paris, France; Algiers",Paris, France; Algiers, Algeria,23,,,Original,0,0
6,4/22/11,5/1/11,9,2011,2011,Jason Suslavich,Don Young,R,AK-1,"Paris, France Algiers, Algeri",Paris, France Algiers, Algeria,23,,,Original,0,0
20,9/15/17,9/24/17,9,2017,2017,David Young,David Young,R,IA-3,"Algiers, Tindouf",Algiers, Tindouf, Algeria,23,,,Original,0,0
18,5/9/14,5/15/14,6,2014,2014,David E. Price,David E. Price,D,NC-4,"Tindouf, Algiers",Tindouf, Algiers, Algeria,23,,,Amendment,0,0
23,5/9/14,5/15/14,6,2014,2014,Marsha Blackburn,Marsha Blackburn,R,TN-7,"Tindouf, Algeria",Tindouf, Algeria, Algeria,23,,,Original,0,0
26,5/9/14,5/15/14,6,2014,2014,Donna F. Edwards,Donna Edwards,D,MD-4,"Tindouf, Algeria",Tindouf, Algeria, Algeria,23,,,Original,0,0
12,5/9/14,5/16/14,7,2014,2014,Rush Holt,Rush Holt,D,NJ-12,"Tindouf, Algeria",Tindouf, Algeria, Algeria,23,,,Original,0,0
13,5/9/14,5/16/14,7,2014,2014,Rush Holt,Rush Holt,D,NJ-12,"Tindouf, Algeria",Tindouf, Algeria, Algeria,23,,,Original,0,0
1,5/10/14,5/17/14,7,2014,2014,Yul Edwards,Danny K. Davis,D,IL-7,"Tindouf, Algeria",Tindouf, Algeria, Algeria,23,,,Original,0,0
4,5/10/14,5/17/14,7,2014,2014,Ron DeSantis,Ron DeSantis,R,FL-6,"Tindouf, Algeria",Tindouf, Algeria, Algeria,23,,,Original,0,0
2,5/10/14,5/17/14,7,2014,2014,Yul Edwards,Danny K. Davis,D,IL-7,"Tindouf, Algeria",Tindouf, Algeria, Algeria,23,,,Original,0,0
5,5/10/14,5/17/14,7,2014,2014,Ron DeSantis,Ron DeSantis,R,FL-6,"Tindouf, Algeria",Tindouf, Algeria, Algeria,21,,,Original,0,0
6,5/10/14,5/17/14,7,2014,2014,Ron DeSantis,Ron DeSantis,R,FL-6,"Tindouf, Algeria",Tindouf, Algeria, Algeria,21,,,Original,0,0
3,5/10/14,5/17/14,7,2014,2014,Yul Edwards,Danny K. Davis,D,IL-7,"Tindouf, Algeria",Tindouf, Algeria, Algeria,21,,,Original,0,0
38,5/9/14,5/18/14,9,2014,2014,Earl Blumenauer,Earl Blumenauer,D,OR-3,"Tindouf, Algeria",Tindouf, Algeria, Algeria,21,,,Original,0,0
40,5/10/14,5/18/14,8,2014,2014,Raul Martinez,Joe Garcia,D,FL-26,"Tindouf, Algeria",Tindouf, Algeria, Algeria,21,,,Original,0,0
43,5/10/14,5/18/14,8,2014,2014,Jonathon Bray,Lois Frankel,D,FL-22,"Tindouf, Algeria",Tindouf, Algeria, Algeria,21,,,Original,0,0
