,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type
0,"Oct. 26, 2023 - Oct. 29, 2023",Steven Horsford,Steven Horsford,D,NV-4,"Houston, TX",Congressional Black Caucus Institute,Original
1,"Oct. 22, 2023 - Oct. 23, 2023",Derek Kilmer,Derek Kilmer,D,WA-6,"New York, NY",United Nations Foundation,Original
2,"Oct. 22, 2023 - Oct. 23, 2023",Ted Lieu,Ted Lieu,D,CA-36,"New York, NY",United,Original
3,"Oct. 20, 2023 - Oct. 22, 2023",Gregory Smith,Eli Crane,R,AZ-2,"Charlottesville, VA",Pew Charitable Trusts,Original
4,"Oct. 20, 2023 - Oct. 21, 2023",Marcus Dunn,George Santos,R,NY-3,"Charlottesville, VA",Pew Charitable Trusts,Original
5,"Oct. 20, 2023 - Oct. 21, 2023",Christina Mahoney,Emanuel Cleaver II,D,MO-5,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
6,"Oct. 20, 2023 - Oct. 21, 2023",Cara Camacho,Jim Himes,D,CT-4,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
7,"Oct. 20, 2023 - Oct. 21, 2023",Hunter Ridgway,Matt Cartwright,D,PA-8,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
8,"Oct. 20, 2023 - Oct. 21, 2023",Katherine Bonner,Lloyd Smucker,R,PA-11,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
9,"Oct. 20, 2023 - Oct. 21, 2023",Liana Guerra,Darren Soto,D,FL-9,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
10,"Oct. 20, 2023 - Oct. 21, 2023",Margaret McInnis,Marcy Kaptur,D,OH-9,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
11,"Oct. 20, 2023 - Oct. 21, 2023",Matthew McMurray,Robin Kelly,D,IL-2,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
12,"Oct. 20, 2023 - Oct. 21, 2023",Robert Edmonson,Robert Garcia,D,CA-42,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
13,"Oct. 20, 2023 - Oct. 21, 2023",Steven Carlson,Chris Pappas,D,NH-1,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
14,"Oct. 20, 2023 - Oct. 21, 2023",Shana Teehan,Barry Moore,R,AL-2,"Charlottesville, VA",Pew Charitable Trusts and the Joyce Foundation,Original
15,"Oct. 7, 2023 - Oct. 16, 2023",Tiffany Haverly,Adrian Smith,R,NE-3,Zambia,International Republican Institute,Original
16,"Oct. 7, 2023 - Oct. 16, 2023",Leslie Reagan,Michael McCaul,R,TX-10,Zambia,International Republican Institute,Original
17,"Oct. 7, 2023 - Oct. 16, 2023",Mitchell Moonier,Dina Titus,D,NV-1,Zambia,International Republican Institute,Original
18,"Oct. 11, 2023 - Oct. 15, 2023",Alicia Porile,Lisa Blunt Rochester,D,DE-1,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
